task,advice_type,seed,checkpoint_batch,sequence_length,num_examples,loss,bit_error_rate,exact_sequence_accuracy,cost
copy,none,1000,20000,10,500,1.2941784022224568e-09,0.0,1.0,0.0
copy,none,1000,20000,20,500,5.300408129902401e-06,0.0,1.0,0.0
copy,none,1000,20000,30,500,0.0047733365051239925,0.0018416666984558106,0.9959999990463256,0.442
copy,none,1000,20000,50,500,2.710678110862119e-09,0.0,1.0,0.0
copy,none,1000,20000,100,500,0.054682315890589736,0.0030399999767541886,0.9940000009536744,2.432
copy,none,1001,20000,10,500,6.364907778333873e-05,0.0,1.0,0.0
copy,none,1001,20000,20,500,6.270517682423816e-05,0.0,1.0,0.0
copy,none,1001,20000,30,500,0.11325708787087933,0.006958333275979385,0.9580000042915344,1.67
copy,none,1001,20000,50,500,4.14469841003418,0.19479000091552734,0.41600000619888305,77.916
copy,none,1001,20000,100,500,12.013603477478027,0.4705575001239777,0.0,376.446
copy,none,1002,20000,10,500,2.251008904274876e-10,0.0,1.0,0.0
copy,none,1002,20000,20,500,3.231948447757205e-10,0.0,1.0,0.0
copy,none,1002,20000,30,500,7.124294998384073e-10,0.0,1.0,0.0
copy,none,1002,20000,50,500,0.059534280959672115,0.0009849999845027923,0.9979999995231629,0.394
copy,none,1002,20000,100,500,2.0652936548925935,0.04863250007620081,0.6940000092983246,38.906
copy,none,1003,20000,10,500,0.00014639799948781729,0.0,1.0,0.0
copy,none,1003,20000,20,500,0.00012480491859605535,1.2499999720603227e-05,0.9979999995231629,0.002
copy,none,1003,20000,30,500,0.0036350187470088713,0.0009083333611488342,0.9979999995231629,0.218
copy,none,1003,20000,50,500,0.040327578517026265,0.0020049999456387014,0.9920000004768371,0.802
copy,none,1003,20000,100,500,0.028157520330278202,0.0020599999473779463,0.9440000057220459,1.648
copy,none,1004,20000,10,500,0.00011586550106585492,2.4999999441206454e-05,0.9979999995231629,0.002
copy,none,1004,20000,20,500,0.013020518545235973,0.002650000012945384,0.9799999952316284,0.424
copy,none,1004,20000,30,500,0.23704901530349162,0.013425000010756775,0.9260000038146973,3.222
copy,none,1004,20000,50,500,4.771614897251129,0.1814599996805191,0.2520000046491623,72.584
copy,none,1004,20000,100,500,16.921901779174803,0.49910749435424806,0.0,399.286
copy,none,1005,20000,10,500,8.771170214458835e-06,0.0,1.0,0.0
copy,none,1005,20000,20,500,4.177537672148901e-05,2.4999999441206454e-05,0.9959999990463256,0.004
copy,none,1005,20000,30,500,2.327855576368165e-05,8.33333353511989e-06,0.9979999995231629,0.002
copy,none,1005,20000,50,500,2.374555708229309e-05,5.000000237487257e-06,0.9979999995231629,0.002
copy,none,1005,20000,100,500,2.1763564054708694e-05,0.0,1.0,0.0
copy,combined,1000,20000,10,500,1.1223066940146964e-05,0.0,1.0,0.0
copy,combined,1000,20000,20,500,1.1394748271413847e-05,0.0,1.0,0.0
copy,combined,1000,20000,30,500,9.879466324491659e-06,0.0,1.0,0.0
copy,combined,1000,20000,50,500,1.1980458184552845e-05,0.0,1.0,0.0
copy,combined,1000,20000,100,500,2.160916759748943e-05,0.0,1.0,0.0
copy,combined,1001,20000,10,500,2.2832797763605584e-10,0.0,1.0,0.0
copy,combined,1001,20000,20,500,2.4924978136997565e-10,0.0,1.0,0.0
copy,combined,1001,20000,30,500,2.7870780627825554e-10,0.0,1.0,0.0
copy,combined,1001,20000,50,500,3.77154272257485e-10,0.0,1.0,0.0
copy,combined,1001,20000,100,500,1.047753526162154e-09,0.0,1.0,0.0
copy,combined,1002,20000,10,500,6.590963193957577e-06,0.0,1.0,0.0
copy,combined,1002,20000,20,500,1.0519008783376194e-05,0.0,1.0,0.0
copy,combined,1002,20000,30,500,0.00031055738414579535,0.00013333333306945862,0.982000002861023,0.032
copy,combined,1002,20000,50,500,0.13077925263904036,0.007239999929443002,0.4640000081062317,2.896
copy,combined,1002,20000,100,500,14.31486343383789,0.48417500019073484,0.0,387.34
copy,combined,1003,20000,10,500,1.8191497547377365e-05,0.0,1.0,0.0
copy,combined,1003,20000,20,500,1.6343445913662436e-05,0.0,1.0,0.0
copy,combined,1003,20000,30,500,2.7028958047594642e-05,8.33333353511989e-06,0.9979999995231629,0.002
copy,combined,1003,20000,50,500,0.033658569780927794,0.003919999971985817,0.9919999980926514,1.568
copy,combined,1003,20000,100,500,0.14096086939407543,0.005019999891519546,0.99,4.016
copy,combined,1004,20000,10,500,0.007144214340448798,0.004350000061094761,0.9879999995231629,0.348
copy,combined,1004,20000,20,500,0.03341839472668426,0.020162500143051147,0.9520000028610229,3.226
copy,combined,1004,20000,30,500,0.0793103468518484,0.04733333297073841,0.8920000171661377,11.36
copy,combined,1004,20000,50,500,0.6463932900130749,0.1068050005286932,0.7660000085830688,42.722
copy,combined,1004,20000,100,500,8.569247570037842,0.1988349997997284,0.6000000131130219,159.068
copy,combined,1005,20000,10,500,1.7933172432549328e-05,0.0,1.0,0.0
copy,combined,1005,20000,20,500,1.0565086931819678e-05,0.0,1.0,0.0
copy,combined,1005,20000,30,500,9.145380568952533e-05,8.33333353511989e-06,0.9979999995231629,0.002
copy,combined,1005,20000,50,500,0.10940140779595822,0.00304000002797693,0.7440000081062317,1.216
copy,combined,1005,20000,100,500,16.220582008361816,0.36349249958992,0.012000000178813934,290.794
