advice_type,checkpoint_batch,sequence_length,n_seeds,seeds,mean_loss,std_loss,mean_bit_error_rate,std_bit_error_rate,mean_exact_sequence_accuracy,std_exact_sequence_accuracy,mean_classification_accuracy,std_classification_accuracy,mean_cost,std_cost
combined,100000,10,6,"1000,1001,1002,1003,1004,1005",0.03290317208958988,0.0448724853856721,0.00800000011920929,0.011372481575617831,0.9919999992847442,0.011372482370522463,0.9919999992847442,0.011372482370522463,0.008,0.011372481406154654
combined,100000,20,6,"1000,1001,1002,1003,1004,1005",1.3560374819169174,2.3247884525408367,0.0970000016440948,0.07085901574173785,0.9030000106493632,0.0708590072336301,0.9030000106493632,0.0708590072336301,0.09699999999999999,0.07085901495222749
combined,100000,30,6,"1000,1001,1002,1003,1004,1005",5.813674005422634,9.688467392151837,0.32500000149011615,0.20769127721577477,0.6750000088413556,0.20769127592887843,0.6750000088413556,0.20769127592887843,0.325,0.20769127730038797
combined,100000,50,6,"1000,1001,1002,1003,1004,1005",6.396801888268844,8.271863562429164,0.4326666669050852,0.17899596449288796,0.5673333436250686,0.17899596163061654,0.5673333436250686,0.17899596163061654,0.4326666666666667,0.17899596519350808
combined,100000,100,6,"1000,1001,1002,1003,1004,1005",4.545377271572749,3.7928128652768605,0.4703333350022634,0.05486245388651863,0.529666678905487,0.054862455448574814,0.529666678905487,0.054862455448574814,0.4703333333333333,0.05486245427329049
none,100000,10,6,"1000,1001,1002,1003,1004,1005",0.0005814344059767539,0.0013000901977940275,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
none,100000,20,6,"1000,1001,1002,1003,1004,1005",0.04867599707810055,0.07851956774576223,0.012000000253319742,0.021571586737046143,0.9880000007152557,0.02157158343513086,0.9880000007152557,0.02157158343513086,0.011999999999999999,0.021571586249817913
none,100000,30,6,"1000,1001,1002,1003,1004,1005",1.1341143299351155,1.183559242204779,0.11233333465953667,0.0986942537944078,0.887666673262914,0.09869424499419202,0.887666673262914,0.09869424499419202,0.11233333333333334,0.09869425290033638
none,100000,50,6,"1000,1001,1002,1003,1004,1005",11.924257409856741,9.432105106234568,0.39766666665673256,0.20099225879151156,0.6023333416879176,0.2009922615316515,0.6023333416879176,0.2009922615316515,0.39766666666666667,0.20099226076863977
none,100000,100,6,"1000,1001,1002,1003,1004,1005",10.435497090419135,5.622425418337362,0.48200000087420153,0.06452906253238384,0.5180000126361847,0.064529065595945,0.5180000126361847,0.064529065595945,0.48200000000000004,0.06452906321960673
