task,advice_type,seed,checkpoint_batch,sequence_length,num_examples,loss,bit_error_rate,exact_sequence_accuracy,classification_accuracy,cost
even-palindrome,none,1000,100000,10,500,1.0718059847633632e-10,0.0,1.0,1.0,0.0
even-palindrome,none,1000,100000,20,500,3.861122869416866e-09,0.0,1.0,1.0,0.0
even-palindrome,none,1000,100000,30,500,0.1707487627013961,0.028000000417232513,0.9719999957084656,0.9719999957084656,0.028
even-palindrome,none,1000,100000,50,500,6.212061684131623,0.2300000023841858,0.7700000143051148,0.7700000143051148,0.23
even-palindrome,none,1000,100000,100,500,8.490479431152345,0.5040000009536744,0.4960000121593475,0.4960000121593475,0.504
even-palindrome,none,1001,100000,10,500,5.8436580040455155e-08,0.0,1.0,1.0,0.0
even-palindrome,none,1001,100000,20,500,0.0034318385611056003,0.004000000059604645,0.9959999990463256,0.9959999990463256,0.004
even-palindrome,none,1001,100000,30,500,2.0800725948810577,0.13000000268220901,0.8700000190734863,0.8700000190734863,0.13
even-palindrome,none,1001,100000,50,500,20.808558807373046,0.5519999969005585,0.4480000042915344,0.4480000042915344,0.552
even-palindrome,none,1001,100000,100,500,18.838207664489747,0.5599999952316285,0.44000000894069674,0.44000000894069674,0.56
even-palindrome,none,1002,100000,10,500,3.3071112323646013e-09,0.0,1.0,1.0,0.0
even-palindrome,none,1002,100000,20,500,0.053073899867368844,0.006000000089406967,0.9939999985694885,0.9939999985694885,0.006
even-palindrome,none,1002,100000,30,500,0.2562214664846656,0.014000000208616257,0.9859999990463257,0.9859999990463257,0.014
even-palindrome,none,1002,100000,50,500,0.6947662942768585,0.04800000101327896,0.9520000052452088,0.9520000052452088,0.048
even-palindrome,none,1002,100000,100,500,11.112578525543213,0.3500000011920929,0.6500000166893005,0.6500000166893005,0.35
even-palindrome,none,1003,100000,10,500,1.9208570124218393e-08,0.0,1.0,1.0,0.0
even-palindrome,none,1003,100000,20,500,0.01581220454088777,0.0020000000298023225,0.9979999995231629,0.9979999995231629,0.002
even-palindrome,none,1003,100000,30,500,0.24050255665040823,0.02400000035762787,0.9759999966621399,0.9759999966621399,0.024
even-palindrome,none,1003,100000,50,500,19.613394813537596,0.5120000058412552,0.4880000126361847,0.4880000126361847,0.512
even-palindrome,none,1003,100000,100,500,8.055108032226563,0.4739999973773956,0.5260000145435333,0.5260000145435333,0.474
even-palindrome,none,1004,100000,10,500,9.116445823242891e-10,0.0,1.0,1.0,0.0
even-palindrome,none,1004,100000,20,500,0.000354162811534573,0.0,1.0,1.0,0.0
even-palindrome,none,1004,100000,30,500,3.3348290371894835,0.26600000262260437,0.7340000128746033,0.7340000128746033,0.266
even-palindrome,none,1004,100000,50,500,22.992671508789062,0.6319999921321869,0.36800000458955767,0.36800000458955767,0.632
even-palindrome,none,1004,100000,100,500,15.053109149932862,0.5100000059604645,0.49000000953674316,0.49000000953674316,0.51
even-palindrome,none,1005,100000,10,500,0.0034885244647739457,0.0,1.0,1.0,0.0
even-palindrome,none,1005,100000,20,500,0.21938387282658367,0.06000000134110451,0.9400000071525574,0.9400000071525574,0.06
