sequence_length,repetitions,combined_minus_none_ber
10,1,-0.16752525232732296
20,1,-0.21840608431957662
30,1,-0.1558960571885109
50,1,-0.20645697304571511
10,3,-0.22255376302055085
20,3,-0.2569672156661909
30,3,-0.21627594602614408
50,3,-0.1720658574166009
10,5,-0.23615468244315707
20,5,-0.2628272829140769
30,5,-0.18762325100360613
50,5,-0.06908864199649545
10,7,-0.2099295781459659
20,7,-0.20528861249331387
30,7,-0.13522314546862615
50,7,-0.050844017416238785
10,10,-0.12429317953065044
20,10,-0.1180134065449237
30,10,-0.10189461000263689
50,10,-0.04149256832897663
