task,advice_type,seed,checkpoint_batch,sequence_length,repetitions,num_examples,loss,bit_error_rate,exact_sequence_accuracy,cost
repeat-copy,none,1000,50000,10,1,200,0.4481796741485596,0.2462121218442917,0.0,24.375
repeat-copy,none,1000,50000,10,3,200,0.5224517464637757,0.29689964056015017,0.0,82.835
repeat-copy,none,1000,50000,10,5,200,0.5480102598667145,0.31489106714725495,0.0,144.535
repeat-copy,none,1000,50000,10,7,200,0.6202507376670837,0.3592253565788269,0.0,229.545
repeat-copy,none,1000,50000,10,10,200,0.7478347897529602,0.41926292777061464,0.0,381.11
repeat-copy,none,1000,50000,20,1,200,0.527908182144165,0.31068783104419706,0.0,58.72
repeat-copy,none,1000,50000,20,3,200,0.5765572845935821,0.3519307881593704,0.0,193.21
repeat-copy,none,1000,50000,20,5,200,0.5866896390914917,0.36199119985103606,0.0,329.05
repeat-copy,none,1000,50000,20,7,200,0.6224174797534943,0.38607958853244784,0.0,489.935
repeat-copy,none,1000,50000,20,10,200,0.7007012665271759,0.4376810431480408,0.0,791.765
repeat-copy,none,1000,50000,30,1,200,0.5713139951229096,0.3527240127325058,0.0,98.41
repeat-copy,none,1000,50000,30,3,200,0.5958142042160034,0.38060439229011533,0.0,311.715
repeat-copy,none,1000,50000,30,5,200,0.6026535153388977,0.38604856133460996,0.0,524.64
repeat-copy,none,1000,50000,30,7,200,0.6323813796043396,0.40227224826812746,0.0,763.915
repeat-copy,none,1000,50000,30,10,200,0.6882743895053863,0.44452565014362333,0.0,1204.22
repeat-copy,none,1000,50000,50,1,200,0.6511161148548126,0.4040740728378296,0.0,185.47
repeat-copy,none,1000,50000,50,3,200,0.6322571694850921,0.4135688006877899,0.0,562.04
repeat-copy,none,1000,50000,50,5,200,0.6359973013401031,0.41774457395076753,0.0,943.685
repeat-copy,none,1000,50000,50,7,200,0.667057853937149,0.4224881291389465,0.0,1334.64
repeat-copy,none,1000,50000,50,10,200,0.7336058974266052,0.44591484069824217,0.0,2010.63
repeat-copy,none,1001,50000,10,1,200,0.3632131516933441,0.19833333194255828,0.0,19.635
repeat-copy,none,1001,50000,10,3,200,0.5177189469337463,0.2944444417953491,0.0,82.15
repeat-copy,none,1001,50000,10,5,200,0.5409583270549774,0.31208060681819916,0.0,143.245
repeat-copy,none,1001,50000,10,7,200,0.5796806991100312,0.33830203413963317,0.0,216.175
repeat-copy,none,1001,50000,10,10,200,0.6963663339614868,0.3931518137454987,0.0,357.375
repeat-copy,none,1001,50000,20,1,200,0.49214851260185244,0.29304232597351076,0.0,55.385
repeat-copy,none,1001,50000,20,3,200,0.5693447768688202,0.34816029369831086,0.0,191.14
repeat-copy,none,1001,50000,20,5,200,0.5823212206363678,0.3580032974481583,0.0,325.425
repeat-copy,none,1001,50000,20,7,200,0.6061688899993897,0.373617023229599,0.0,474.12
repeat-copy,none,1001,50000,20,10,200,0.6645455658435822,0.3918048620223999,0.0,708.775
repeat-copy,none,1001,50000,30,1,200,0.5689125955104828,0.3498924732208252,0.0,97.62
repeat-copy,none,1001,50000,30,3,200,0.5946903467178345,0.3759279638528824,0.0,307.885
repeat-copy,none,1001,50000,30,5,200,0.6184442460536956,0.39139440953731536,0.0,531.905
repeat-copy,none,1001,50000,30,7,200,0.6736998498439789,0.40265666246414183,0.0,764.645
repeat-copy,none,1001,50000,30,10,200,0.7632033586502075,0.40992432832717896,0.0,1110.485
repeat-copy,none,1001,50000,50,1,200,0.6750615775585175,0.42116557657718656,0.0,193.315
repeat-copy,none,1001,50000,50,3,200,0.6657438814640045,0.4232818275690079,0.0,575.24
repeat-copy,none,1001,50000,50,5,200,0.7219619750976562,0.4286741942167282,0.0,968.375
repeat-copy,none,1001,50000,50,7,200,0.8603158891201019,0.43066477179527285,0.0,1360.47
repeat-copy,none,1001,50000,50,10,200,1.0743208050727844,0.43509757816791533,0.0,1961.855
repeat-copy,none,1002,50000,10,1,200,8.845879528962542e-06,0.0,1.0,0.0
repeat-copy,none,1002,50000,10,3,200,1.2758848788507748e-05,0.0,1.0,0.0
repeat-copy,none,1002,50000,10,5,200,0.0012386933231027797,0.0003485838795313612,0.9500000059604645,0.16
repeat-copy,none,1002,50000,10,7,200,0.2275822140276432,0.017715179920196535,0.0,11.32
repeat-copy,none,1002,50000,10,10,200,0.46837768852710726,0.039400439336895944,0.0,35.815
repeat-copy,none,1002,50000,20,1,200,7.878042606535018e-06,0.0,1.0,0.0
repeat-copy,none,1002,50000,20,3,200,1.3592743653134675e-05,0.0,1.0,0.0
repeat-copy,none,1002,50000,20,5,200,0.13869065831167973,0.004752475360874087,0.8700000166893005,4.32
repeat-copy,none,1002,50000,20,7,200,0.12029111124575138,0.011926713865250349,0.0,15.135
repeat-copy,none,1002,50000,20,10,200,0.6041071683168411,0.09857379719614982,0.0,178.32
repeat-copy,none,1002,50000,30,1,200,2.9944201196485663e-05,0.0,1.0,0.0
repeat-copy,none,1002,50000,30,3,200,5.269132561807055e-05,0.0,1.0,0.0
repeat-copy,none,1002,50000,30,5,200,0.11313295918516815,0.005566593050025404,0.450000011920929,7.565
repeat-copy,none,1002,50000,30,7,200,0.2400563221424818,0.018341232324019074,0.0,34.83
repeat-copy,none,1002,50000,30,10,200,1.188093465566635,0.15908637791872024,0.0,430.965
repeat-copy,none,1002,50000,50,1,200,0.13970346704591066,0.010087145923171193,0.6200000137090683,4.63
repeat-copy,none,1002,50000,50,3,200,0.0014688822091557085,0.0004966887296177447,0.7100000083446503,0.675
repeat-copy,none,1002,50000,50,5,200,0.3708220273256302,0.02435812307521701,0.0,55.025
repeat-copy,none,1002,50000,50,7,200,0.8730762809514999,0.09436530470848084,0.0,298.1
repeat-copy,none,1002,50000,50,10,200,2.249373722076416,0.23209358900785446,0.0,1046.51
repeat-copy,none,1003,50000,10,1,200,0.40475638806819914,0.22555555552244186,0.0,22.33
repeat-copy,none,1003,50000,10,3,200,0.5232703804969787,0.29896057546138766,0.0,83.41
repeat-copy,none,1003,50000,10,5,200,0.5492742896080017,0.3172984719276428,0.0,145.64
repeat-copy,none,1003,50000,10,7,200,0.5897337198257446,0.3437323927879333,0.0,219.645
repeat-copy,none,1003,50000,10,10,200,0.6870818912982941,0.3846259653568268,0.0,349.625
repeat-copy,none,1003,50000,20,1,200,0.5305812537670136,0.31595238149166105,0.0,59.715
repeat-copy,none,1003,50000,20,3,200,0.5775678753852844,0.3544717699289322,0.0,194.605
repeat-copy,none,1003,50000,20,5,200,0.5887277662754059,0.36482398509979247,0.0,331.625
repeat-copy,none,1003,50000,20,7,200,0.6121421992778778,0.3766272634267807,0.0,477.94
repeat-copy,none,1003,50000,20,10,200,0.7226415574550629,0.40228579342365267,0.0,727.735
repeat-copy,none,1003,50000,30,1,200,0.5845233857631683,0.3652867376804352,0.0,101.915
repeat-copy,none,1003,50000,30,3,200,0.5989580094814301,0.38083028197288515,0.0,311.9
repeat-copy,none,1003,50000,30,5,200,0.6052292108535766,0.38720014691352844,0.0,526.205
repeat-copy,none,1003,50000,30,7,200,0.6314254820346832,0.39490258395671846,0.0,749.92
repeat-copy,none,1003,50000,30,10,200,0.7622490704059601,0.4091288298368454,0.0,1108.33
repeat-copy,none,1003,50000,50,1,200,0.6671661078929901,0.43261438310146333,0.0,198.57
repeat-copy,none,1003,50000,50,3,200,0.6456664443016052,0.422078737616539,0.0,573.605
repeat-copy,none,1003,50000,50,5,200,0.6889652788639069,0.4249225288629532,0.0,959.9
repeat-copy,none,1003,50000,50,7,200,0.7801328837871552,0.4277302950620651,0.0,1351.2
repeat-copy,none,1003,50000,50,10,200,0.923874706029892,0.4386360585689545,0.0,1977.81
repeat-copy,combined,1000,50000,10,1,200,1.6456559342259426e-05,0.0,1.0,0.0
repeat-copy,combined,1000,50000,10,3,200,7.575851809633604e-05,1.792114635463804e-05,0.9949999988079071,0.005
repeat-copy,combined,1000,50000,10,5,200,3.419476647650299e-05,0.0,1.0,0.0
repeat-copy,combined,1000,50000,10,7,200,1.9048845291137695,0.07298904582858086,0.0,46.64
repeat-copy,combined,1000,50000,10,10,200,11.681958198547363,0.3628107815980911,0.0,329.795
repeat-copy,combined,1000,50000,20,1,200,8.825341592455515e-06,0.0,1.0,0.0
repeat-copy,combined,1000,50000,20,3,200,0.007145825080078794,0.0030236794329539405,0.9849999964237213,1.66
repeat-copy,combined,1000,50000,20,5,200,2.1867513578399666e-05,0.0,1.0,0.0
repeat-copy,combined,1000,50000,20,7,200,0.889037024974823,0.07349881753325463,0.0,93.27
repeat-copy,combined,1000,50000,20,10,200,11.90781478881836,0.3815091192722321,0.0,690.15
repeat-copy,combined,1000,50000,30,1,200,1.4391192235052585e-05,0.0,1.0,0.0
repeat-copy,combined,1000,50000,30,3,200,0.03560062348005886,0.0008608059084508568,0.9650000035762787,0.705
repeat-copy,combined,1000,50000,30,5,200,1.0271087169647217,0.08705665916204453,0.0,118.31
repeat-copy,combined,1000,50000,30,7,200,2.20449481010437,0.1923196420073509,0.0,365.215
repeat-copy,combined,1000,50000,30,10,200,9.208954191207885,0.3849169462919235,0.0,1042.74
repeat-copy,combined,1000,50000,50,1,200,1.1848765416289097e-05,0.0,1.0,0.0
repeat-copy,combined,1000,50000,50,3,200,2.663131046295166,0.15064385533332825,0.0,204.725
repeat-copy,combined,1000,50000,50,5,200,4.060429286956787,0.2646591454744339,0.0,597.865
repeat-copy,combined,1000,50000,50,7,200,4.473519992828369,0.31307217478752136,0.0,988.995
