task,group,metric,advice_type,batch,mean,std,min,max,n_seeds,seeds,common_horizon,report_interval,sd_shading
copy,phase_ablation,loss,none,200,0.6897894942263761,0.0014997940323146376,0.6873388719558716,0.6914895123243332,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,400,0.6781643053889274,0.0021279050625706286,0.6756270098686218,0.6819538006186485,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,600,0.6740042225519817,0.0013878593078677545,0.6721575197577476,0.6758061230182648,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,800,0.6675915265083314,0.0012940966988136899,0.665868601500988,0.6694210323691369,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,1000,0.6625415706137816,0.0019878303165119294,0.6596089985966682,0.6654547125101089,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,1200,0.6552370579292377,0.0035808217771080876,0.651229802519083,0.6619929608702659,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,1400,0.6506247411171595,0.003214585460375321,0.6459826821088791,0.6556524178385734,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,1600,0.6481776260832945,0.003892129839353955,0.6431889624893665,0.6549597123265266,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,1800,0.6445223176727692,0.004766974808378499,0.6364532548189163,0.6513796672224998,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,2000,0.6408979719380538,0.005250705173700309,0.6360367521643638,0.6507267591357231,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,2200,0.6390017593900362,0.0061034199090152464,0.628919473439455,0.6460400280356408,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,2400,0.633271741171678,0.004395980766388849,0.6268398627638817,0.6395666711032391,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,2600,0.6299656161914269,0.005820440277967791,0.6206538650393486,0.6382646223902703,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,2800,0.6260117748379707,0.008482413117677747,0.608008275181055,0.6351764273643493,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,3000,0.6143855717778206,0.022104033727631804,0.5664019565284252,0.6347287091612815,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,3200,0.5982080399865907,0.060356075757717044,0.46373834677040576,0.6334807740151882,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,3400,0.5763754016285141,0.10211397766787428,0.3481375198811293,0.6256637932360172,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,3600,0.5755687776704629,0.10370866973384955,0.3437643623352051,0.6254317362606525,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,3800,0.5446747743586698,0.15104964393053835,0.207240005210042,0.6251893527805805,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,4000,0.5407213605878254,0.157661174808268,0.18841749113053083,0.6186678571999074,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,4200,0.5249324746600662,0.19121232765228854,0.09744129913859069,0.61723100066185,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,4400,0.5179153714608401,0.19571079924757273,0.08036321083083749,0.6103477725386619,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,4600,0.5194801062586096,0.19796960355279625,0.07685275479685515,0.6125967614352703,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,4800,0.5140705024109533,0.1881040865936526,0.09397762628272176,0.6097260813415051,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,5000,0.5359155297318163,0.0962315263709851,0.32977392370346936,0.6118316818773747,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,5200,0.5006235264195129,0.13790510578083742,0.20662236695177852,0.6107758428156376,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,5400,0.4979110171832144,0.10168638298666671,0.35561950769275424,0.599476098716259,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,5600,0.4466914011227588,0.1533725523473583,0.264839183986187,0.6056971397995948,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,5800,0.39669311737486473,0.21267886713709175,0.09243311905302107,0.5844002069532871,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,6000,0.434743490414694,0.23699196734691239,0.02909498194232583,0.6529463899135589,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,6200,0.4347222838286932,0.21911677671797614,0.04679323440417647,0.6339711337536573,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,6400,0.4880338302547655,0.075686868031605,0.3903779428452253,0.5803898973017931,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,6600,0.40030372172555256,0.1947725739786854,0.11542771022766829,0.5849101606756448,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,6800,0.30885686543498503,0.2504336541108944,0.019796316621359437,0.5713027873635292,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,phase_ablation,loss,none,7000,0.2891886436541245,0.23246860256683466,0.001202321824239334,0.570342261120677,6,"1000,1001,1002,1003,1004,1005",20000,200,True
