task,group,metric,advice_type,batch,mean,std,min,max,n_seeds,seeds,common_horizon,report_interval,sd_shading
copy,structural_features,ber,none,200,0.466559209736685,0.007676029445078659,0.4559620444476604,0.47810421079397203,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,structural_features,ber,none,400,0.4301793726782004,0.008730595282253008,0.41820343740284444,0.44062718875706197,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,structural_features,ber,none,600,0.42210421980669105,0.005023801918152079,0.4149788998067379,0.43061224721372127,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,structural_features,ber,none,800,0.41191905036568643,0.0037898138071678594,0.4066390983760357,0.41673181049525737,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,structural_features,ber,none,1000,0.4038307055458426,0.006788368600012127,0.39544595159590246,0.4145573718100786,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,structural_features,ber,none,1200,0.39885957978665826,0.005105666466887608,0.39001886546611786,0.40589755825698376,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,structural_features,ber,none,1400,0.3940314796318611,0.006259982190335552,0.38114279791712763,0.39912218548357487,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,structural_features,ber,none,1600,0.393467308456699,0.005940228198260969,0.38599803306162356,0.4050555769354105,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,structural_features,ber,none,1800,0.39080637493481235,0.004833468513481427,0.38394966498017313,0.3964042539894581,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,structural_features,ber,none,2000,0.38821454158673685,0.006319556191245857,0.38112062446773054,0.3973420112580061,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,structural_features,ber,none,2200,0.3865040653385221,0.006863700852910752,0.37413074806332586,0.3937032069265842,6,"1000,1001,1002,1003,1004,1005",20000,200,True
copy,structural_features,ber,none,2400,0.37833602517843246,0.007032868513148002,0.36835460908710954,0.3872729293256998,6,"1000,1001,1002,1003,1004,1005",20000,200,True
