task,group,metric,advice_type,batch,mean,std,min,max,n_seeds,seeds,common_horizon,report_interval,sd_shading
repeat-copy,baseline_vs_combined,ber,none,200,0.43184005141258236,0.003727476801378394,0.4258251102268696,0.4359812740981579,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,400,0.41471148341894154,0.005126854875377127,0.40676725216209886,0.4210850909352303,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,600,0.40447211075574163,0.0081336585838025,0.393628858551383,0.41364401780068877,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,800,0.3973058927431703,0.0056444034083911205,0.3936216264218092,0.4070572886615992,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,1000,0.3899450252018869,0.008023869252850927,0.3815425500273705,0.39824769958853723,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,1200,0.3814715216122567,0.0020818413606375147,0.37823327869176865,0.38400101236999035,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,1400,0.37774801418185233,0.004788017623784244,0.37089422084391116,0.3835633795708418,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,1600,0.3718970274087042,0.00436974646108304,0.36821064084768296,0.3789238892495632,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,1800,0.3699475019611418,0.0025509761414074586,0.36654340267181396,0.3729440274834633,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,2000,0.36279024999588727,0.005937576588390978,0.3537321513146162,0.3701412883400917,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,2200,0.3638904908951372,0.001934253172946544,0.3622924168407917,0.3671827935799956,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,2400,0.3599741721991449,0.00270573659089962,0.35563445661216975,0.3629430550336838,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,2600,0.3537115210108459,0.006192566511032518,0.34543048553168776,0.3624518163502216,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,2800,0.35655474590137604,0.0023566919019489237,0.35415361389517785,0.3592698284238577,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,3000,0.34946518148295586,0.004108958467506444,0.34383545655757186,0.3548089347034693,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,3200,0.34623118218034504,0.0016489873413762142,0.34447168581187726,0.3489379095286131,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,3400,0.3470080819167197,0.002870509229019819,0.3426951562985778,0.3506475703418255,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,ber,none,3600,0.34083698685280983,0.0038498947119811945,0.33648269303143025,0.34613147281110285,4,"1000,1001,1002,1003",59000,200,True
