task,metric,advice_type,batch,n_seeds,mean,std,lower_band,upper_band
copy,cost,combined,100,2,40.09,0.3535533905932738,39.73644660940673,40.44355339059328
copy,cost,combined,200,2,37.94,2.06475180106472,35.875248198935275,40.00475180106472
copy,cost,combined,300,2,38.57,3.0405591591021524,35.52944084089785,41.61055915910215
copy,cost,combined,400,2,40.61,1.1737972567696664,39.43620274323033,41.78379725676967
copy,cost,combined,500,2,37.945,1.7465537495307715,36.19844625046923,39.69155374953077
copy,cost,combined,600,2,37.245000000000005,4.6456915523956175,32.599308447604386,41.89069155239562
copy,cost,combined,700,2,38.105000000000004,1.0535891039679572,37.051410896032046,39.15858910396796
copy,cost,combined,800,2,38.5,0.3818376618407401,38.11816233815926,38.88183766184074
copy,cost,combined,900,2,35.754999999999995,0.38890872965260415,35.36609127034739,36.1439087296526
copy,cost,combined,1000,2,35.260000000000005,2.6021529547664946,32.65784704523351,37.8621529547665
copy,cost,combined,1100,2,35.035,1.576848122045999,33.458151877953995,36.611848122046
copy,cost,combined,1200,2,36.265,0.23334523779155947,36.03165476220844,36.49834523779156
copy,cost,combined,1300,2,34.735,3.203193718775061,31.531806281224938,37.93819371877506
copy,cost,combined,1400,2,37.88,0.9616652224137042,36.918334777586296,38.84166522241371
copy,cost,combined,1500,2,34.815,0.9970205614730346,33.81797943852696,35.812020561473034
copy,cost,combined,1600,2,34.46,0.09899494936611705,34.361005050633885,34.55899494936612
copy,cost,combined,1700,2,34.09,1.8667619023324808,32.223238097667526,35.95676190233248
copy,cost,combined,1800,2,37.040000000000006,1.4424978336205563,35.59750216637945,38.48249783362056
copy,cost,combined,1900,2,35.235,1.22329473145273,34.01170526854727,36.45829473145273
copy,cost,combined,2000,2,35.81,6.36396103067893,29.446038969321073,42.17396103067893
copy,cost,combined,2100,2,32.870000000000005,1.8384776310850246,31.03152236891498,34.70847763108503
copy,cost,combined,2200,2,34.915,1.3930003589374977,33.5219996410625,36.3080003589375
copy,cost,combined,2300,2,33.585,4.688117959266809,28.896882040733193,38.27311795926681
copy,cost,combined,2400,2,34.005,1.1808683245815357,32.824131675418464,35.18586832458154
copy,cost,combined,2500,2,34.39,2.870853531617384,31.519146468382615,37.260853531617386
copy,cost,combined,2600,2,34.004999999999995,3.9951533137039927,30.009846686296,38.00015331370399
copy,cost,combined,2700,2,35.035,1.972827919510467,33.06217208048953,37.00782791951046
copy,cost,combined,2800,2,34.915,4.58912300990069,30.32587699009931,39.50412300990069
copy,cost,combined,2900,2,31.07,2.7577164466275366,28.312283553372463,33.827716446627534
copy,cost,combined,3000,2,28.445,8.379215357060588,20.065784642939413,36.82421535706059
copy,cost,combined,3100,2,26.915,12.339013331705253,14.575986668294746,39.25401333170525
copy,cost,combined,3200,2,26.675,14.601755031502206,12.073244968497795,41.276755031502205
copy,cost,combined,3300,2,25.284999999999997,17.147339443773774,8.137660556226223,42.43233944377377
copy,cost,combined,3400,2,20.52,17.70595380091115,2.8140461990888497,38.22595380091115
copy,cost,combined,3500,2,18.1,20.03940617882676,-1.9394061788267578,38.13940617882676
copy,cost,combined,3600,2,16.939999999999998,16.786714985368636,0.15328501463136135,33.72671498536863
copy,cost,combined,3700,2,12.445,14.48861794651236,-2.0436179465123594,26.93361794651236
copy,cost,combined,3800,2,10.105,12.947125163525687,-2.8421251635256866,23.052125163525687
copy,cost,combined,3900,2,7.55,8.089301576774103,-0.5393015767741032,15.639301576774102
copy,cost,combined,4000,2,5.0600000000000005,6.731656556895933,-1.6716565568959325,11.791656556895934
copy,cost,combined,4100,2,3.9299999999999997,5.176021638285528,-1.2460216382855283,9.106021638285528
copy,cost,combined,4200,2,2.67,2.8284271247461903,-0.15842712474619036,5.49842712474619
copy,cost,combined,4300,2,1.815,1.5485638507985393,0.26643614920146064,3.3635638507985393
copy,cost,combined,4400,2,0.945,1.3222896808188438,-0.37728968081884384,2.267289680818844
copy,cost,combined,4500,2,0.505,0.6293250352560272,-0.12432503525602723,1.1343250352560272
copy,cost,combined,4600,2,1.08,0.3676955262170048,0.7123044737829953,1.4476955262170048
copy,cost,combined,4700,2,0.22,0.282842712474619,-0.062842712474619,0.502842712474619
copy,cost,combined,4800,2,0.5,0.6929646455628166,-0.19296464556281656,1.1929646455628165
copy,cost,combined,4900,2,0.09000000000000001,0.11313708498984762,-0.02313708498984761,0.20313708498984762
copy,cost,combined,5000,2,0.47,0.5091168824543142,-0.03911688245431422,0.9791168824543142
copy,cost,combined,5100,2,0.02,0.01414213562373095,0.00585786437626905,0.03414213562373095
copy,cost,combined,5200,2,1.43,1.994041122946064,-0.564041122946064,3.424041122946064
copy,cost,combined,5300,2,0.175,0.2050609665440988,-0.030060966544098816,0.3800609665440988
copy,cost,combined,5400,2,0.8300000000000001,1.1172287142747452,-0.28722871427474517,1.9472287142747453
copy,cost,combined,5500,2,0.07500000000000001,0.03535533905932738,0.03964466094067263,0.1103553390593274
copy,cost,combined,5600,2,0.04,0.042426406871192854,-0.002426406871192853,0.08242640687119285
copy,cost,combined,5700,2,0.075,0.06363961030678927,0.011360389693210723,0.13863961030678928
copy,cost,combined,5800,2,1.3599999999999999,1.909188309203678,-0.5491883092036782,3.269188309203678
copy,cost,combined,5900,2,4.675,6.61144840409422,-1.9364484040942198,11.28644840409422
copy,cost,combined,6000,2,0.005,0.007071067811865475,-0.0020710678118654752,0.012071067811865475
copy,cost,combined,6100,2,0.325,0.44547727214752497,-0.12047727214752496,0.770477272147525
copy,cost,combined,6200,2,0.8899999999999999,0.3535533905932737,0.5364466094067262,1.2435533905932736
copy,cost,combined,6300,2,3.52,4.963889603929564,-1.4438896039295641,8.483889603929564
copy,cost,combined,6400,2,0.01,0.01414213562373095,-0.0041421356237309505,0.02414213562373095
copy,cost,combined,6500,2,0.015,0.007071067811865475,0.007928932188134525,0.022071067811865474
copy,cost,combined,6600,2,0.47,0.6646803743153546,-0.19468037431535468,1.1346803743153546
copy,cost,combined,6700,2,0.56,0.7778174593052023,-0.21781745930520224,1.3378174593052023
copy,cost,combined,6800,2,0.475,0.6717514421272202,-0.19675144212722018,1.1467514421272202
copy,cost,combined,6900,2,11.545,16.31295344197365,-4.767953441973651,27.85795344197365
copy,cost,combined,7000,2,1.365,1.9304015126392746,-0.5654015126392746,3.2954015126392746
copy,cost,combined,7100,2,0.365,0.5161879502661797,-0.1511879502661797,0.8811879502661797
copy,cost,combined,7200,2,0.0,0.0,0.0,0.0
copy,cost,combined,7300,2,0.35,0.49497474683058323,-0.14497474683058326,0.8449747468305833
copy,cost,combined,7400,2,0.43,0.5939696961966999,-0.16396969619669993,1.0239696961967
copy,cost,combined,7500,2,0.285,0.40305086527633205,-0.11805086527633207,0.688050865276332
copy,cost,combined,7600,2,0.255,0.36062445840513924,-0.10562445840513923,0.6156244584051392
copy,cost,combined,7700,2,0.005,0.007071067811865475,-0.0020710678118654752,0.012071067811865475
copy,cost,combined,7800,2,0.005,0.007071067811865475,-0.0020710678118654752,0.012071067811865475
copy,cost,combined,7900,2,0.0,0.0,0.0,0.0
copy,cost,combined,8000,2,0.0,0.0,0.0,0.0
copy,cost,combined,8100,2,2.65,3.747665940288702,-1.0976659402887021,6.397665940288702
copy,cost,combined,8200,2,14.325000000000001,16.072537136370226,-1.7475371363702248,30.397537136370225
copy,cost,combined,8300,2,0.775,0.9970205614730321,-0.22202056147303206,1.772020561473032
copy,cost,combined,8400,2,0.0,0.0,0.0,0.0
copy,cost,combined,8500,2,0.0,0.0,0.0,0.0
copy,cost,combined,8600,2,0.0,0.0,0.0,0.0
copy,cost,combined,8700,2,0.005,0.007071067811865475,-0.0020710678118654752,0.012071067811865475
copy,cost,combined,8800,2,0.0,0.0,0.0,0.0
copy,cost,combined,8900,2,0.105,0.14849242404917498,-0.043492424049174985,0.253492424049175
copy,cost,combined,9000,2,0.11,0.15556349186104046,-0.04556349186104046,0.26556349186104045
copy,cost,combined,9100,2,0.655,0.9263098833543773,-0.2713098833543772,1.5813098833543773
copy,cost,combined,9200,2,0.875,1.2374368670764582,-0.36243686707645817,2.1124368670764584
copy,cost,combined,9300,2,0.0,0.0,0.0,0.0
copy,cost,combined,9400,2,2.57,3.634528855298854,-1.064528855298854,6.204528855298854
copy,cost,combined,9500,2,18.3,25.88010819142764,-7.580108191427641,44.18010819142764
copy,cost,combined,9600,2,12.370000000000001,17.041273426595797,-4.671273426595796,29.4112734265958
copy,cost,combined,9700,2,0.66,0.9333809511662428,-0.2733809511662427,1.593380951166243
copy,cost,combined,9800,2,0.0,0.0,0.0,0.0
copy,cost,combined,9900,2,0.0,0.0,0.0,0.0
copy,cost,combined,10000,2,0.13,0.18384776310850237,-0.05384776310850237,0.3138477631085024
copy,cost,combined,10100,2,0.0,0.0,0.0,0.0
copy,cost,combined,10200,2,0.0,0.0,0.0,0.0
copy,cost,combined,10300,2,0.0,0.0,0.0,0.0
copy,cost,combined,10400,2,9.92,14.028998538741103,-4.108998538741103,23.9489985387411
copy,cost,combined,10500,2,9.96,14.085567081236027,-4.125567081236026,24.04556708123603
copy,cost,combined,10600,2,4.985,7.049854608429879,-2.0648546084298784,12.034854608429878
copy,cost,combined,10700,2,0.015,0.021213203435596427,-0.0062132034355964275,0.036213203435596426
copy,cost,combined,10800,2,0.0,0.0,0.0,0.0
copy,cost,combined,10900,2,0.32,0.4525483399593904,-0.13254833995939042,0.7725483399593904
copy,cost,combined,11000,2,0.325,0.45961940777125593,-0.13461940777125592,0.7846194077712559
copy,cost,combined,11100,2,1.795,2.5385133444597057,-0.7435133444597057,4.333513344459705
copy,cost,combined,11200,2,12.85,8.669129137347074,4.180870862652926,21.519129137347072
copy,cost,combined,11300,2,6.79,7.679179643685907,-0.8891796436859067,14.469179643685907
copy,cost,combined,11400,2,0.21,0.29698484809834996,-0.08698484809834997,0.50698484809835
copy,cost,combined,11500,2,2.255,3.1890515831513295,-0.9340515831513296,5.44405158315133
copy,cost,combined,11600,2,1.125,1.590990257669732,-0.4659902576697319,2.715990257669732
copy,cost,combined,11700,2,1.01,1.428355697996826,-0.4183556979968259,2.438355697996826
copy,cost,combined,11800,2,1.435,2.0293964620053915,-0.5943964620053914,3.4643964620053915
copy,cost,combined,11900,2,9.065,12.819845942912107,-3.754845942912107,21.884845942912108
copy,cost,combined,12000,2,3.655,3.0900566337852124,0.5649433662147874,6.745056633785213
copy,cost,combined,12100,2,1.99,2.8001428534987283,-0.8101428534987283,4.790142853498728
copy,cost,combined,12200,2,0.38,0.5374011537017761,-0.1574011537017761,0.9174011537017761
copy,cost,combined,12300,2,0.59,0.834386001800126,-0.24438600180012604,1.424386001800126
copy,cost,combined,12400,2,6.205,8.775195154525056,-2.570195154525056,14.980195154525056
copy,cost,combined,12500,2,7.835,11.0803632611932,-3.2453632611932006,18.9153632611932
copy,cost,combined,12600,2,5.73,8.103443712397835,-2.373443712397835,13.833443712397836
copy,cost,combined,12700,2,7.785,11.009652583074546,-3.224652583074546,18.794652583074544
copy,cost,combined,12800,2,4.8,6.788225099390856,-1.9882250993908563,11.588225099390856
copy,cost,combined,12900,2,5.765000000000001,7.148849557795995,-1.3838495577959948,12.913849557795995
copy,cost,combined,13000,2,11.785,16.652364696943195,-4.867364696943195,28.437364696943195
copy,cost,combined,13100,2,9.935,14.0502117421767,-4.115211742176699,23.985211742176702
copy,cost,combined,13200,2,12.185,17.232192257516164,-5.047192257516164,29.417192257516163
copy,cost,combined,13300,2,8.4,11.879393923933998,-3.4793939239339977,20.279393923934
copy,cost,combined,13400,2,6.645,9.397449121969215,-2.7524491219692155,16.042449121969213
copy,cost,combined,13500,2,3.945,5.57907250356186,-1.63407250356186,9.52407250356186
copy,cost,combined,13600,2,13.915,19.678781720421618,-5.763781720421619,33.59378172042162
copy,cost,combined,13700,2,15.299999999999999,21.609183233060893,-6.309183233060894,36.909183233060894
copy,cost,combined,13800,2,16.215,22.931472913879734,-6.716472913879734,39.146472913879734
copy,cost,combined,13900,2,11.625,16.44023266258723,-4.815232662587231,28.06523266258723
copy,cost,combined,14000,2,3.45,4.879036790187178,-1.4290367901871779,8.329036790187178
copy,cost,combined,14100,2,20.99,29.684342674211262,-8.694342674211263,50.67434267421126
copy,cost,combined,14200,2,15.13,21.39705119870493,-6.267051198704928,36.52705119870493
copy,cost,combined,14300,2,16.4,23.19310242291876,-6.793102422918761,39.59310242291876
copy,cost,combined,14400,2,14.835,20.979858197804866,-6.144858197804865,35.81485819780487
copy,cost,combined,14500,2,16.365000000000002,23.11532067698824,-6.750320676988238,39.48032067698824
copy,cost,combined,14600,2,17.0,24.041630560342615,-7.041630560342615,41.04163056034261
copy,cost,combined,14700,2,13.19,18.596908345206202,-5.406908345206203,31.7869083452062
copy,cost,combined,14800,2,14.54,20.5626651969048,-6.0226651969048,35.102665196904795
