task,metric,advice_type,batch,n_seeds,mean,std,lower_band,upper_band
copy,cost,combined,100,3,18.30666666666667,0.5993607705992544,17.707305896067414,18.906027437265923
copy,cost,combined,200,3,15.506666666666666,0.2967041174863156,15.20996254918035,15.803370784152982
copy,cost,combined,300,3,14.006666666666666,0.2098412098071621,13.796825456859503,14.216507876473829
copy,cost,combined,400,3,13.26,0.08544003745317526,13.174559962546825,13.345440037453175
copy,cost,combined,500,3,13.12,0.2251666049839537,12.894833395016045,13.345166604983953
copy,cost,combined,600,3,12.506666666666666,0.3234707611722163,12.18319590549445,12.830137427838881
copy,cost,combined,700,3,12.046666666666667,0.2797022226106421,11.766964444056025,12.326368889277308
copy,cost,combined,800,3,11.660000000000002,0.3143246729100339,11.345675327089968,11.974324672910036
copy,cost,combined,900,3,11.416666666666666,0.3477547028198663,11.0689119638468,11.764421369486532
copy,cost,combined,1000,3,11.4,0.08717797887081365,11.312822021129186,11.487177978870815
copy,cost,combined,1100,3,10.983333333333334,0.3667878587594374,10.616545474573897,11.350121192092772
copy,cost,combined,1200,3,10.910000000000002,0.10999999999999943,10.800000000000002,11.020000000000001
copy,cost,combined,1300,3,10.746666666666668,0.04932882862316244,10.697337838043506,10.79599549528983
copy,cost,combined,1400,3,10.270000000000001,0.15524174696260049,10.114758253037401,10.425241746962602
copy,cost,combined,1500,3,10.366666666666667,0.43385865593915846,9.93280801072751,10.800525322605825
copy,cost,combined,1600,3,10.113333333333333,0.40414518843273833,9.709188144900596,10.517478521766071
copy,cost,combined,1700,3,9.976666666666667,0.18876793513023737,9.78789873153643,10.165434601796903
copy,cost,combined,1800,3,9.836666666666666,0.13613718571108102,9.700529480955584,9.972803852377748
copy,cost,combined,1900,3,9.413333333333334,0.31785741037976967,9.095475922953565,9.731190743713103
copy,cost,combined,2000,3,9.696666666666667,0.08326663997864453,9.613400026688023,9.779933306645312
copy,cost,combined,2100,3,9.32,0.08185352771872449,9.238146472281276,9.401853527718725
copy,cost,combined,2200,3,9.123333333333333,0.10016652800877868,9.023166805324554,9.223499861342113
copy,cost,combined,2300,3,9.209999999999999,0.2718455443813634,8.938154455618635,9.481845544381363
copy,cost,combined,2400,3,9.11,0.21283796653792755,8.897162033462072,9.322837966537927
copy,cost,combined,2500,3,8.719999999999999,0.26057628441590747,8.45942371558409,8.980576284415907
copy,cost,combined,2600,3,9.043333333333335,0.34486712417006815,8.698466209163266,9.388200457503403
copy,cost,combined,2700,3,8.683333333333334,0.22120880030716145,8.462124533026172,8.904542133640495
copy,cost,combined,2800,3,8.593333333333334,0.2608320021265293,8.332501331206805,8.854165335459863
copy,cost,combined,2900,3,8.473333333333334,0.1650252505931542,8.30830808274018,8.63835858392649
copy,cost,combined,3000,3,8.25,0.019999999999999574,8.23,8.27
copy,cost,combined,3100,3,8.176666666666666,0.26539279065817356,7.911273876008492,8.44205945732484
copy,cost,combined,3200,3,8.046666666666667,0.22368132093076792,7.822985345735899,8.270347987597434
copy,cost,combined,3300,3,8.203333333333333,0.06110100926607754,8.142232324067255,8.264434342599412
copy,cost,combined,3400,3,7.93,0.1609347693943106,7.7690652306056895,8.09093476939431
copy,cost,combined,3500,3,7.846666666666667,0.22188585654190174,7.624780810124765,8.068552523208568
copy,cost,combined,3600,3,7.786666666666666,0.21548395145191968,7.571182715214746,8.002150618118586
copy,cost,combined,3700,3,7.57,0.39344631145811976,7.176553688541881,7.96344631145812
copy,cost,combined,3800,3,7.353333333333333,0.22278539748675943,7.1305479358465735,7.576118730820092
copy,cost,combined,3900,3,7.666666666666667,0.25106440076867415,7.415602265897993,7.917731067435341
copy,cost,combined,4000,3,7.3933333333333335,0.04725815626252608,7.346075177070808,7.440591489595859
copy,cost,combined,4100,3,7.266666666666667,0.1890326250501045,7.077634041616562,7.455699291716771
copy,cost,combined,4200,3,7.2299999999999995,0.12288205727444532,7.107117942725554,7.352882057274445
copy,cost,combined,4300,3,7.146666666666666,0.2177919496522617,6.928874717014404,7.364458616318927
copy,cost,combined,4400,3,7.096666666666667,0.11930353445448853,6.9773631322121785,7.215970201121155
