task,metric,advice_type,batch,n_seeds,mean,std,lower_band,upper_band
copy,loss,combined,100,3,0.6869294895728429,0.006265601899365823,0.6806638876734771,0.6931950914722088
copy,loss,combined,200,3,0.6555926922957104,0.004283441360011376,0.651309250935699,0.6598761336557217
copy,loss,combined,300,3,0.627698850830396,0.0012046766852867952,0.6264941741451092,0.6289035275156828
copy,loss,combined,400,3,0.609393370548884,0.001298427956081793,0.6080949425928022,0.6106917985049658
copy,loss,combined,500,3,0.6051378694176673,0.004087609403583451,0.6010502600140839,0.6092254788212508
copy,loss,combined,600,3,0.586732738216718,0.00192598048651573,0.5848067577302023,0.5886587187032337
copy,loss,combined,700,3,0.5707671678066254,0.00512714590498714,0.5656400219016382,0.5758943137116126
copy,loss,combined,800,3,0.5626253127058347,0.00745830859597411,0.5551670041098606,0.5700836213018088
copy,loss,combined,900,3,0.5548640633622806,0.00732265001409969,0.5475414133481808,0.5621867133763803
copy,loss,combined,1000,3,0.5489296991626422,0.0016664972635480973,0.5472632018990942,0.5505961964261903
copy,loss,combined,1100,3,0.5406342174609501,0.010704617386937192,0.5299296000740129,0.5513388348478873
copy,loss,combined,1200,3,0.5353304929534595,0.0030791611486479234,0.5322513318048115,0.5384096541021074
copy,loss,combined,1300,3,0.527116314470768,0.004654024462095848,0.5224622900086722,0.5317703389328639
copy,loss,combined,1400,3,0.5157569013039272,0.0028339499978306563,0.5129229513060964,0.5185908513017579
copy,loss,combined,1500,3,0.5158480956157049,0.008949301857345432,0.5068987937583594,0.5247973974730503
copy,loss,combined,1600,3,0.5034032754103342,0.011985575528478142,0.49141769988185613,0.5153888509388124
copy,loss,combined,1700,3,0.49754793554544446,0.007647652386950372,0.4899002831584941,0.5051955879323948
copy,loss,combined,1800,3,0.4910374117890994,0.00391391255378414,0.4871234992353152,0.4949513243428835
copy,loss,combined,1900,3,0.48143304626146954,0.00649606760287574,0.4749369786585938,0.4879291138643453
copy,loss,combined,2000,3,0.4816652368505796,0.00781798983431648,0.47384724701626313,0.4894832266848961
copy,loss,combined,2100,3,0.47524361759424205,0.00269367088583761,0.47254994670840444,0.47793728848007966
copy,loss,combined,2200,3,0.46500384941697126,0.0031840644920339135,0.46181978492493736,0.46818791390900516
copy,loss,combined,2300,3,0.46809112588564555,0.004308081740065804,0.46378304414557975,0.47239920762571136
copy,loss,combined,2400,3,0.46345422933499014,0.005167074936954639,0.4582871543980355,0.46862130427194476
copy,loss,combined,2500,3,0.44725225408871966,0.008597085730238811,0.43865516835848084,0.4558493398189585
copy,loss,combined,2600,3,0.45738590101401017,0.009328856268089726,0.44805704474592045,0.4667147572820999
copy,loss,combined,2700,3,0.44622157921393707,0.010112131891298925,0.4361094473226381,0.456333711105236
copy,loss,combined,2800,3,0.43733129526178044,0.0027103567487529743,0.43462093851302747,0.4400416520105334
copy,loss,combined,2900,3,0.4381518871585528,0.0007060133564241677,0.4374458738021286,0.438857900514977
copy,loss,combined,3000,3,0.43391528288523357,0.006718505469398357,0.4271967774158352,0.4406337883546319
copy,loss,combined,3100,3,0.42183674429853757,0.0066961549448446385,0.4151405893536929,0.4285328992433822
copy,loss,combined,3200,3,0.4229302312930425,0.012920967829389606,0.4100092634636529,0.43585119912243214
copy,loss,combined,3300,3,0.4224663012226422,0.005259790940884608,0.4172065102817576,0.42772609216352686
copy,loss,combined,3400,3,0.41663335969050724,0.008729894886607244,0.4079034648039,0.4253632545771145
copy,loss,combined,3500,3,0.40869729245702424,0.0007616990035985666,0.40793559345342567,0.4094589914606228
copy,loss,combined,3600,3,0.40449873661001523,0.006131941458272501,0.3983667951517427,0.41063067806828774
copy,loss,combined,3700,3,0.4023934570451577,0.011571603893521023,0.3908218531516367,0.41396506093867874
